"","race","education_num","tot_in_race","tot_race","perc_of_race","tot_group","tot","perc","index"
"48","Other",1,648675,51959734,0.0124841863124242,11786990,6101539186,0.00193180599856595,6.4624430826344
"49","Other",2,2026916,51959734,0.0390093605944942,39810916,6101539186,0.00652473331505373,5.97869042470941
"50","Other",3,3007277,51959734,0.0578770668841376,76894216,6101539186,0.0126024292651326,4.5925325718167
"51","Other",4,3147927,51959734,0.0605839706569706,121084466,6101539186,0.0198449050819552,3.05287278557252
"52","Other",5,1643281,51959734,0.0316260472003186,99882492,6101539186,0.0163700484345295,1.93194585384423
"53","Other",6,1544864,51959734,0.0297319458948731,157823285,6101539186,0.0258661429827618,1.1494541692856
"54","Other",7,1326806,51959734,0.0255352731405438,195075111,6101539186,0.0319714591766616,0.798689637512195
"55","Other",8,2605932,51959734,0.0501529126380824,79595445,6101539186,0.0130451419836214,3.84456625317309
"56","Other",9,15852257,51959734,0.305087339361668,1987430678,6101539186,0.325726118839024,0.936637628106341
"57","Other",10,10345813,51959734,0.199112124015108,1374313148,6101539186,0.225240403463009,0.883998256768384
"58","Other",11,912941,51959734,0.0175701630805115,251435575,6101539186,0.0412085487506037,0.426371799377044
"59","Other",12,1228736,51959734,0.0236478500832972,206383508,6101539186,0.0338248270983078,0.699127005573969
"60","Other",13,5644592,51959734,0.108633966447942,1006363531,6101539186,0.164936010459312,0.658643107380973
"61","Other",14,1138222,51959734,0.0219058473240067,309610942,6101539186,0.0507430883522642,0.431701105221146
"62","Other",15,591406,51959734,0.0113820059201997,106942295,6101539186,0.0175271012346162,0.649394658468684
"63","Other",16,294089,51959734,0.0056599404454226,77106588,6101539186,0.0126372355645804,0.447878051849115
"64","White",1,9026888,5141496210,0.00175569282389882,11786990,6101539186,0.00193180599856595,0.908834958169785
"65","White",2,33622741,5141496210,0.00653948571130037,39810916,6101539186,0.00652473331505373,1.00226099604908
"66","White",3,67347150,5141496210,0.0130987454330925,76894216,6101539186,0.0126024292651326,1.03938257914552
"67","White",4,103131213,5141496210,0.020058599440259,121084466,6101539186,0.0198449050819552,1.01076822274641
"68","White",5,79294976,5141496210,0.0154225487603734,99882492,6101539186,0.0163700484345295,0.942119922372521
"69","White",6,125584502,5141496210,0.0244256723861321,157823285,6101539186,0.0258661429827618,0.94431057627766
"70","White",7,157302823,5141496210,0.0305947561906304,195075111,6101539186,0.0319714591766616,0.956939626107644
"71","White",8,56883017,5141496210,0.0110635143305882,79595445,6101539186,0.0130451419836214,0.848094589118216
"72","White",9,1655016303,5141496210,0.321893907026725,1987430678,6101539186,0.325726118839024,0.988234864843022
"73","White",10,1149503954,5141496210,0.223573821130951,1374313148,6101539186,0.225240403463009,0.992600873083002
"74","White",11,217470582,5141496210,0.0422971394157655,251435575,6101539186,0.0412085487506037,1.02641662223414
"75","White",12,176451655,5141496210,0.03431912575503,206383508,6101539186,0.0338248270983078,1.01461348657557
"76","White",13,869605866,5141496210,0.169134786933938,1006363531,6101539186,0.164936010459312,1.02545700276691
"77","White",14,275050685,5141496210,0.0534962341244243,309610942,6101539186,0.0507430883522642,1.05425656698401
"78","White",15,96671453,5141496210,0.0188022025207328,106942295,6101539186,0.0175271012346162,1.07275026651858
"79","White",16,69532402,5141496210,0.0135237680161589,77106588,6101539186,0.0126372355645804,1.07015240374748
